word,pos,definition
abu,,dapat
ado,,tidak 
aju,n,pohon
ama appu,,seperti
ammi marra,,bagaimana 
ammi mi,,bagaimana
ana du,n,ikan
ana duu,,ikan
awe,n,waktu
banni,,supaya
bei,,tidur
bue,n,buah
bui,,jatuh
dai,,bawah  
dara1,,dalam  
dara2,,dalam   
dau,,orang  
di,,kita  
dida,,tinggi  
doke,,tidak  
due,,tuak 
era,,ada  
era heke1,,terdapat  
era heke2,,terdapat 
gi,,kalau
gu dai,,sehingga
hari1,,dengan  
hari2,conn,dengan  
hari hari,adj,semua  
harre,,itu  
Hawu,n,Sabu  
he kepue,,sepohon  
he we,,saja  
hedau,,seorang  
heke,,lah  
helama..selamat  
helodo lodo,,sehari- hari  
helodo-lodo,,sehari-hari  
hemate,v,menadah  
hengare,v, menengadah  
heniu,,seekor  
hepalla,v,menjilat  
hugu,,sehingga  
huti,,menetes
ilu,,air liur  



